ASSESSMENT_UNIT_ID,PARAM_NAME,Pollu_ID,ACTION_ID,Pollutant_DEQ.WQS,OWRD_Basin
OR_SR_1801020406_05_106989,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,NA
OR_SR_1801020406_05_106989,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_SR_1801020407_05_107185,AMMONIA,6,42375,Ammonia,Klamath
OR_SR_1801020407_05_107185,AMMONIA,6,OR_TMDL_20190116,Ammonia,Klamath
OR_SR_1801020407_05_107185,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_SR_1801020407_05_107185,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,Klamath
OR_SR_1801020407_05_107185,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_SR_1801020407_05_107185,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,Klamath
OR_SR_1801020407_05_107185,PH,124,42375,pH,Klamath
OR_SR_1801020407_05_107185,PH,124,OR_TMDL_20190116,pH,Klamath
OR_SR_1801020407_05_107185,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_SR_1801020409_05_107184,AMMONIA,6,42375,Ammonia,Klamath
OR_SR_1801020409_05_107184,AMMONIA,6,OR_TMDL_20190116,Ammonia,Klamath
