AU_ID,Period,num_cats
OR_WS_170702030201_05_102157,Year round,1
OR_WS_170702030205_05_102160,Year round,2
OR_WS_170702030206_05_102161,Year round,2
OR_WS_170702030207_05_102162,Year round,1
OR_WS_170702030301_05_102164,Spawn,1
OR_WS_170702030301_05_102164,Year round,1
OR_WS_170702030302_05_102165,Year round,2
OR_WS_170702040304_05_102199,Year round,2
OR_WS_170702040305_05_102200,Spawn,1
OR_WS_170702040305_05_102200,Year round,1
OR_WS_170703010101_05_102266,Year round,1
OR_WS_170703010104_05_102269,Year round,2
OR_WS_170703010105_05_102270,Year round,1
OR_WS_170703010107_05_102272,Year round,1
OR_WS_170703010201_05_102275,Year round,1
OR_WS_170703010202_05_102276,Year round,3
OR_WS_170703010205_05_102279,Year round,1
OR_WS_170703010301_05_102282,Year round,2
OR_WS_170703010302_05_102283,Year round,1
OR_WS_170703010306_05_102286,Year round,1
OR_WS_170703010501_05_102291,Year round,2
OR_WS_170703010502_05_102292,Year round,2
OR_WS_170703010701_05_102297,Year round,1
OR_WS_170703010702_05_102298,Year round,1
OR_WS_170703010703_05_102299,Year round,1
OR_WS_170703010705_05_102300,Year round,1
OR_WS_170703010707_05_102302,Year round,1
OR_WS_170703010903_05_102314,Year round,1
OR_WS_170703010904_05_102315,Year round,2
OR_WS_170703010906_05_102317,Year round,1
OR_WS_170703010907_05_102318,Year round,2
OR_WS_170703010909_05_102320,Year round,1
OR_WS_170703010910_05_102626,Year round,1
OR_WS_170703010911_05_102321,Year round,1
OR_WS_170703011003_05_102324,Year round,1
OR_WS_170703020101_05_102333,Year round,1
OR_WS_170703020102_05_102334,Year round,2
OR_WS_170703020105_05_102337,Year round,1
OR_WS_170703020106_05_102338,Year round,1
OR_WS_170703020201_05_102339,Year round,1
OR_WS_170703020202_05_102340,Year round,1
OR_WS_170703020203_05_102341,Year round,1
OR_WS_170703020703_05_102367,Year round,1
OR_WS_170703030703_05_102401,Year round,1
OR_WS_170703030901_05_102406,Year round,1
OR_WS_170703030902_05_102407,Year round,1
OR_WS_170703040301_05_102424,Year round,1
OR_WS_170703040303_05_102426,Year round,1
OR_WS_170703040304_05_102427,Year round,1
OR_WS_170703040306_05_102587,Year round,2
OR_WS_170703040401_05_102430,Year round,1
OR_WS_170703040402_05_102431,Year round,1
OR_WS_170703040403_05_102432,Year round,2
OR_WS_170703040602_05_102436,Year round,1
OR_WS_170703040604_05_102438,Year round,2
OR_WS_170703040701_05_102443,Year round,1
OR_WS_170703050201_05_102453,Year round,1
OR_WS_170703050204_05_102455,Year round,2
OR_WS_170703050205_05_102456,Year round,1
OR_WS_170703050301_05_102457,Year round,1
