"MLocID","StationDes","Lat_DD","Long_DD","AU_ID","MonLocType","Period","OWRD_Basin","data_period_start","data_period_end","IR_category","total_violations","max_violations_3yr","max_3yr_results_in_crit_period","total_spawn_violations","max_spawn_violations_3yr"
"35214-ORDEQ","Tualatin River Drainage at T2S R4W SENW Sec 6",45.42870388,-123.2303372,"OR_WS_170900100204_02_104495","River/Stream","Year round","Willamette",2008-04-11,2008-10-06,"Cat2",0,0,92,NA,NA
"35216-ORDEQ","Tualatin River Drainage Pond near Cherry Grove T1S R4W NESW Sec 31",45.43844129,-123.2328009,"OR_WS_170900100204_02_104495","River/Stream","Year round","Willamette",2008-04-11,2008-04-28,"Cat3",0,0,0,NA,NA
"35267-ORDEQ","Paul Creek 1.2RM u/s of Riddle Creek(Donner und Blitzen River)",43.07510712,-118.5425414,"OR_WS_171200010601_05_106529","River/Stream","Year round","Malheur Lake",2008-04-29,2008-09-15,"Cat5",68,68,77,NA,NA
"35268-ORDEQ","Paul Creek 5.2RM u/s of Riddle Creek(Donner und Blitzen River)",43.0730101,-118.470479,"OR_WS_171200010601_05_106529","River/Stream","Year round","Malheur Lake",2008-05-02,2008-09-15,"Cat5",77,77,77,NA,NA
"35270-ORDEQ","Coffeepot Creek at RM 4.9(Malheur Lake)",43.71440593,-118.8279456,"OR_WS_171200010104_05_106513","River/Stream","Year round","Malheur Lake",2008-05-06,2008-09-07,"Cat5",15,15,69,NA,NA
"35271-ORDEQ","Krumbo Creek 0.5mi u/s of Krumbo Reservoir(Donner und Blitzen River)",42.94485838,-118.7863682,"OR_WS_171200030205_05_106597","River/Stream","Year round","Malheur Lake",2008-05-05,2008-09-30,"Cat5",42,42,92,NA,NA
"35272-ORDEQ","Landing Creek 1.0RM u/s of Silvies River",43.77871007,-119.1789589,"OR_WS_171200020404_05_106566","River/Stream","Year round","Malheur Lake",2008-06-09,2008-09-17,"Cat2",0,0,79,NA,NA
"35274-ORDEQ","Muddy Creek 5.6RM u/s of Malheur River",43.88391826,-118.677022,"OR_WS_170501160502_05_102989","River/Stream","Year round","Malheur",2008-05-09,2008-09-08,"Cat5",68,68,70,NA,NA
"35316-ORDEQ","Little Deschutes River d/s of Gilchrist Pond & Sawmill Rd.",43.47744002,-121.6895361,"OR_WS_170703020106_05_102338","River/Stream","Year round","Deschutes",2016-07-31,2016-10-23,"Cat5",36,36,62,NA,NA
"35387-ORDEQ","Whychus Creek at Road 4606 footbridge",44.27362701,-121.5548191,"OR_WS_170703010702_05_102298","River/Stream","Year round","Deschutes",2014-03-30,2017-10-15,"Cat2",0,0,93,NA,NA
"35389-ORDEQ","Whychus Creek at city park in Sisters, OR",44.28836,-121.54182,"OR_WS_170703010702_05_102298","River/Stream","Year round","Deschutes",2014-03-30,2017-10-15,"Cat2",0,0,92,NA,NA
"35587-ORDEQ","Battle Creek at RM 3.64",44.86022359,-123.0169234,"OR_WS_170900070203_02_104411","River/Stream","Year round","Willamette",2008-10-27,2009-04-07,"Cat3",0,0,0,NA,NA
"35933-ORDEQ","Battle Creek above Jory Creek",44.86095919,-123.0487604,"OR_WS_170900070203_02_104411","River/Stream","Year round","Willamette",2008-10-28,2009-04-07,"Cat3",0,0,0,NA,NA
"36630-ORDEQ","Butte Creek NR Mouth",42.95768613,-124.4602304,"OR_WS_171003060104_02_106331","River/Stream","Year round","South Coast",2008-07-05,2008-10-02,"Cat2",0,0,88,NA,NA
"36728-ORDEQ","North Langlois Cr at DS Bridge",42.93782914,-124.4576296,"OR_WS_171003060104_02_106331","River/Stream","Year round","South Coast",2008-07-10,2008-10-18,"Cat2",0,0,83,NA,NA
"36732-ORDEQ","Edson Cr EF at Rock Quarry",42.48712396,-124.3892805,"OR_WS_171003100803_02_104698","River/Stream","Year round","Rogue",2016-06-28,2016-09-26,"Cat2",0,0,88,NA,NA
"36734-ORDEQ","Edson Cr WF ABV EF",42.4805,-124.39467,"OR_WS_171003100803_02_104698","River/Stream","Year round","Rogue",2016-06-28,2016-09-26,"Cat2",0,0,88,NA,NA
"36903-ORDEQ","Nestucca River d/s of McMinnville Dam, just d/s of Walker Creek",45.31034431,-123.4127614,"OR_WS_171002030201_05_106100","River/Stream","Year round","North Coast",2015-06-03,2015-09-27,"Cat5",75,75,89,NA,NA
"36903-ORDEQ","Nestucca River d/s of McMinnville Dam, just d/s of Walker Creek",45.31034431,-123.4127614,"OR_WS_171002030201_05_106100","River/Stream","Spawn","North Coast",2015-06-03,2015-06-14,"Cat5",NA,NA,NA,12,12
"37108-ORDEQ","Camp Creek north of Whitney (USFS",44.69441996,-118.3220629,"OR_WS_170502020102_05_103113","River/Stream","Year round","Powder",2017-06-22,2017-10-06,"Cat2",0,0,92,NA,NA
"37111-ORDEQ","East Camp Creek (USFS)",44.32494791,-118.1403666,"OR_WS_170502020302_05_103124","River/Stream","Year round","Powder",2017-05-21,2017-10-10,"Cat2",0,0,92,NA,NA
"37113-ORDEQ","West Camp Cr. (USFS)",44.34866975,-118.1904489,"OR_WS_170502020301_05_103123","River/Stream","Year round","Powder",2017-06-18,2017-10-10,"Cat2",0,0,92,NA,NA
"37120-ORDEQ","North Fork Burnt River at Hwy. 7 (USFS/DEQ)",44.668234,-118.3772469,"OR_WS_170502020103_05_103114","River/Stream","Year round","Powder",2012-06-27,2017-10-05,"Cat5",78,72,91,NA,NA
"37122-ORDEQ","Snow Creek (USFS)",44.68359833,-118.4618483,"OR_WS_170502020101_05_103112","River/Stream","Year round","Powder",2017-06-27,2017-10-05,"Cat2",0,0,92,NA,NA
"37300-ORDEQ","Gettings Cr at Sears Rd",43.83658224,-123.0249008,"OR_WS_170900020401_02_104238","River/Stream","Year round","Willamette",2017-08-16,2017-12-17,"Cat5",42,42,46,NA,NA
"37329-ORDEQ","Wolf Creek at Inlet to Wolf Creek Reservoir",45.0523928,-118.0187606,"OR_WS_170502030602_05_103182","River/Stream","Year round","Powder",2017-06-24,2017-10-25,"Cat5",89,89,92,NA,NA
"37330-ORDEQ","Wolf Creek at outlet to Wolf Creek Reservoir",45.0639664,-118.0323515,"OR_WS_170502030602_05_103182","Reservoir","Year round","Powder",2017-07-02,2017-10-25,"Cat5",60,60,91,NA,NA
"37339-ORDEQ","Johnson Creek at SE 307th Ave., Gresham, OR",45.46082097,-122.3470864,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2012-06-19,2015-09-06,"Cat5",217,148,185,NA,NA
