WQstd_code,Data_File
1,Bacteria
16,HH Toxics
12,Temperature
13,Total dissolved gas - no data file
15,AL Toxics
17,Chlorophyll
10,pH
3,DO
NA,Various narrative standards - no datafile
9,Turbidity - no data file
5,Biocriteria
