AU_ID,ben_use_code
OR_LK_1707010304_02_100009,2
OR_SR_1710030502_02_106300,2
OR_WS_170703050201_05_102453,5
OR_WS_171003010404_02_105643,2
OR_WS_170601050104_02_103486,2
OR_SR_1707030109_05_101715,5
OR_SR_1710030210_02_105432,2
OR_WS_170703020106_05_102338,5
OR_WS_170501190101_05_103080,5
OR_SR_1710020101_05_105829,5
OR_EB_1710020302_01_107215,1
OR_SR_1710030601_02_104993,2
OR_WS_171003010304_02_105639,2
OR_WS_170702020401_05_102103,5
OR_SR_1705020310_05_102830,5
OR_WS_170703060702_05_102514,5
OR_SR_1710020402_02_105956,2
OR_SR_1709000602_02_103950,2
OR_WS_170702030206_05_102161,5
OR_SR_1705020303_05_102816,5
OR_SR_1709000403_02_103861,2
OR_SR_1710020701_02_104926,2
OR_WS_170502031002_05_103205,5
OR_SR_1710030706_02_105493,2
OR_SR_1801020602_05_107165,5
OR_CL_1710020310_106284,3
OR_EB_1710030308_01_107226,1
OR_WS_170502020302_05_103124,5
OR_WS_171002020101_05_106443,5
OR_WS_170900030109_02_104251,2
OR_WS_170502010603_05_103104,5
OR_LK_1709001002_02_100840,2
OR_SR_1709000403_02_103863,2
OR_SR_1709000109_02_103737,2
OR_SR_1709000402_02_104587,2
OR_LK_1707010401_02_100012,2
OR_SR_1710030107_02_105333,2
OR_SR_1801020406_05_106989,5
OR_SR_1710020302_05_105882,5
OR_SR_1710030302_02_105124,2
OR_WS_170501160101_05_102969,5
OR_WS_171200060104_05_106742,5
OR_LK_1705011607_05_100553,5
OR_WS_170900010105_02_104189,2
OR_SR_1709001201_02_104172,2
OR_SR_1710030303_02_106421,2
OR_WS_180102030101_05_107088,5
OR_WS_170900090102_02_104455,2
OR_WS_170502020107_05_103118,5
OR_WS_171003110202_02_104881,2
OR_SR_1710030601_02_105027,2
OR_WS_170900010501_02_104199,2
OR_SR_1707030104_05_102628,2
OR_WS_170900070304_02_104599,2
OR_WS_170900020404_02_104241,2
OR_SR_1710031008_02_104642,2
OR_WS_170702030106_05_102156,5
OR_SR_1706010401_02_103307,2
OR_WS_170701051104_02_102010,2
OR_SR_1709000501_02_103893,2
OR_WS_171002030101_05_106099,5
OR_SR_1710030701_02_105465,2
OR_SR_1707020210_05_101613,5
OR_WS_170702020403_05_102105,5
OR_WS_180200010301_05_102693,5
OR_SR_1706010402_02_103312,2
OR_CL_1710020310_106243,5
OR_WS_170703010202_05_102276,5
OR_CL_1710020410_106257,3
OR_SR_1707030402_02_101764,2
OR_SR_1705020309_05_102829,5
OR_SR_1707010207_16_101462,16
OR_SR_1708000108_88_100673,88
OR_WS_171002050602_00_106163,2
OR_SR_1710030211_02_105084,2
OR_SR_1709000305_02_103822,2
OR_SR_1709000901_02_104062,2
OR_WS_170900110501_02_104540,2
OR_WS_171003030705_02_105302,2
OR_WS_170900100403_02_104508,2
OR_SR_1707030109_05_101716,5
OR_SR_1604020101_05_102629,5
OR_EB_1710030403_01_107198,2
OR_WS_170900090109_02_104462,2
OR_SR_1710030702_02_105471,2
OR_LK_1707030101_05_100050,5
OR_SR_1710020501_02_106015,2
OR_WS_170703050301_05_102457,5
